hello	hello how are you
hi	hi how are you today
hey	hey what can i help with
good morning	hello how are you
how are you	i am doing okay
are you okay	yes i am okay
i feel sad	i am sorry you feel sad
i am sad	i am sorry you feel sad
i feel tired	that sounds hard but i can listen
i am confused	tell me what part is hard
i feel happy	i am glad you feel happy
i am excited	that sounds good
what are you	i am a small diffusion chatbot
who are you	i am a tiny language model
what is your name	i am nova
are you a bot	yes i am a bot
can you help me	yes i can try to help
i need help	tell me what part is hard
can you help me with python	yes i can try to help with python
my code is broken	show me the error message
python error	read the traceback first
how do i debug	check the smallest failing case
thanks	you are welcome
thank you	no problem
bye	goodbye
goodbye	bye have a good day
